dataset,accuracy,precision,recall,f1,roc_auc
df1_raw,0.8507523799774798,0.7298850574712644,0.5975192472198461,0.6571025399811853,0.9034742672219435
df1_raw,0.8481932644078206,0.7191184008200923,0.6000855431993156,0.6542317556539986,0.9041750975239671
df1_raw,0.8553587880028662,0.7375449409347714,0.6142001710863987,0.67024504084014,0.9077742778472124
df1_raw,0.8504452861091207,0.7333688131985099,0.5893926432848589,0.6535451742945222,0.9038559941078683
df1_raw,0.847169618179957,0.7199375325351379,0.5915312232677502,0.6494482272833999,0.8995210743516715
df1_raw,0.8513665677141979,0.7346398305084746,0.5932420872540634,0.6564126833885471,0.9024004876802714
df1_raw,0.8485003582761798,0.7225103734439834,0.5958083832335329,0.6530707923112986,0.9051602660070022
df1_raw,0.8535162247927116,0.7423837520042758,0.5940975192472199,0.6600142551674982,0.9055912628287458
df1_raw,0.8439963148735797,0.7146624472573839,0.5795551753635586,0.6400566839867737,0.8976402981567864
df1_raw,0.8544375063977889,0.7449197860962566,0.5958083832335329,0.6620722433460076,0.9066615025327396
df1_OverSampling,0.8056095813286928,0.5634943592710443,0.8331907613344739,0.6723037100949094,0.902943636920173
df1_OverSampling,0.8048930289691882,0.5607424071991001,0.8528656971770744,0.6766202918221921,0.903614939795707
df1_OverSampling,0.8070426860477019,0.5641098216812906,0.8524379811804962,0.6789303355476068,0.9072974645898239
df1_OverSampling,0.8081686968983519,0.566935949221004,0.8404619332763046,0.677119228118539,0.9031442852802959
df1_OverSampling,0.8016173610400246,0.556657223796034,0.8404619332763046,0.6697341513292433,0.8995070876759659
df1_OverSampling,0.7994677039615109,0.5527708159287107,0.84901625320787,0.6695901501096306,0.9022208481128752
df1_OverSampling,0.8097041662401474,0.5679432624113475,0.8562874251497006,0.6829268292682927,0.9054131773364281
df1_OverSampling,0.8087828846350701,0.5673352435530086,0.8468776732249786,0.6794783802333562,0.9054052342860274
df1_OverSampling,0.7996724332070836,0.5545064377682404,0.8289136013686912,0.6644951140065146,0.8977081018768737
df1_OverSampling,0.8103183539768656,0.5691474194468207,0.853721129170231,0.6829769033361848,0.9065921447375737
df1_UnderSampling,0.8061214044426246,0.5644225188624492,0.8319076133447391,0.6725449515905948,0.9028437732068016
df1_UnderSampling,0.8015149964172382,0.5554320644623506,0.8550042771599657,0.673404076132727,0.9036792900156203
df1_UnderSampling,0.8049953935919746,0.5611064069997177,0.8502994011976048,0.6760754973643938,0.9070356892766174
df1_UnderSampling,0.8094994369945747,0.5692307692307692,0.8387510692899914,0.6781947086287394,0.9030578326592676
df1_UnderSampling,0.7992629747159382,0.5530537573881227,0.8404619332763046,0.6671193345781701,0.8990538157780983
df1_UnderSampling,0.7980345992425018,0.5505680243834857,0.8498716852010265,0.6682360854212208,0.9019886577844944
df1_UnderSampling,0.8091923431262156,0.5671007927519819,0.8567151411462789,0.6824531516183986,0.9048951523102938
df1_UnderSampling,0.8063261336881974,0.5633882888004548,0.8477331052181352,0.6769125683060109,0.9051888149417757
df1_UnderSampling,0.7995700685842972,0.5540694365395561,0.8327630453378957,0.6654135338345865,0.8977251967027362
df1_UnderSampling,0.8108301770907974,0.569920091324201,0.8541488451668092,0.6836699760356042,0.9067459406119993
df1_BothSampling,0.8061214044426246,0.5644225188624492,0.8319076133447391,0.6725449515905948,0.9028437732068016
df1_BothSampling,0.8015149964172382,0.5554320644623506,0.8550042771599657,0.673404076132727,0.9036792900156203
df1_BothSampling,0.8049953935919746,0.5611064069997177,0.8502994011976048,0.6760754973643938,0.9070356892766174
df1_BothSampling,0.8094994369945747,0.5692307692307692,0.8387510692899914,0.6781947086287394,0.9030578326592676
df1_BothSampling,0.7992629747159382,0.5530537573881227,0.8404619332763046,0.6671193345781701,0.8990538157780983
df1_BothSampling,0.7980345992425018,0.5505680243834857,0.8498716852010265,0.6682360854212208,0.9019886577844944
df1_BothSampling,0.8091923431262156,0.5671007927519819,0.8567151411462789,0.6824531516183986,0.9048951523102938
df1_BothSampling,0.8063261336881974,0.5633882888004548,0.8477331052181352,0.6769125683060109,0.9051888149417757
df1_BothSampling,0.7995700685842972,0.5540694365395561,0.8327630453378957,0.6654135338345865,0.8977251967027362
df1_BothSampling,0.8108301770907974,0.569920091324201,0.8541488451668092,0.6836699760356042,0.9067459406119993
df2_raw,0.8576108097041663,0.7580381471389646,0.5949529512403764,0.6666666666666666,0.9086134208312138
df2_raw,0.8564847988535162,0.7516129032258064,0.5979469632164243,0.666031443544545,0.9099274776475079
df2_raw,0.8542327771522162,0.7397691500524659,0.6030795551753636,0.6644674835061263,0.9084618409527332
df2_raw,0.8551540587572934,0.7528767123287671,0.5876817792985458,0.6601008887821282,0.9085823968879818
df2_raw,0.8526973078104207,0.7354635935044526,0.6005132591958939,0.6611725924181775,0.9035846928900144
df2_raw,0.8553587880028662,0.7479892761394102,0.5966638152266894,0.6638115631691649,0.9071257392936602
df2_raw,0.8530044016787798,0.7409188034188035,0.5932420872540634,0.6589073634204275,0.9099409462981874
df2_raw,0.8581226328180981,0.7632743362831859,0.5902480752780154,0.6657018813314037,0.9098683076778561
df2_raw,0.8472719828027434,0.7306434023991276,0.5731394354148845,0.6423777564717162,0.9022799893033588
df2_raw,0.8574060804585935,0.7591881513987931,0.5919589392643285,0.6652247055996154,0.9102891166740861
df2_OverSampling,0.8118538233186611,0.5734861845972957,0.8344739093242087,0.6797909407665506,0.9083365652339132
df2_OverSampling,0.8103183539768656,0.5692263773908078,0.8528656971770744,0.6827598014038692,0.9096332969909998
df2_OverSampling,0.8089876138806429,0.5675830469644902,0.8477331052181352,0.6799313893653516,0.9082348884329502
df2_OverSampling,0.8143105742655339,0.5764294049008168,0.8451668092386655,0.685397155740548,0.9079817756493473
df2_OverSampling,0.8056095813286928,0.5630203847258111,0.8387510692899914,0.6737673939185707,0.9036225662752586
df2_OverSampling,0.8060190398198382,0.5627301047861796,0.8498716852010265,0.6771170557164764,0.9070952333754546
df2_OverSampling,0.8134916572832429,0.5736721873215306,0.8592814371257484,0.688013698630137,0.9102269536709501
df2_OverSampling,0.8130821987920974,0.5741599073001159,0.8477331052181352,0.6846286701208981,0.9098081592164883
df2_OverSampling,0.8078616030299929,0.5672207640711577,0.8319076133447391,0.6745274839604647,0.901938783486145
df2_OverSampling,0.8147200327566793,0.5766995932597327,0.84901625320787,0.6868512110726643,0.9101612796093033
df2_UnderSampling,0.8107278124680111,0.5716378552593027,0.8344739093242087,0.67849069727004,0.9082529905296968
df2_UnderSampling,0.8104207185996519,0.569034090909091,0.8567151411462789,0.6838511437350632,0.9096794587766622
df2_UnderSampling,0.8091923431262156,0.5677142857142857,0.8498716852010265,0.6807125727989037,0.907929311225867
df2_UnderSampling,0.8149247620022521,0.5778038755137992,0.8417450812660393,0.6852367688022284,0.9079060864371954
df2_UnderSampling,0.8039717473641109,0.5606886657101865,0.8357570573139436,0.6711317190451658,0.9030268950535401
df2_UnderSampling,0.8041764766096837,0.5598086124401914,0.850727117194183,0.6752673569852317,0.9070326674639647
df2_UnderSampling,0.8136963865288156,0.574,0.8592814371257484,0.6882494004796164,0.9098389529263753
df2_UnderSampling,0.8118538233186611,0.5720046082949308,0.8494439692044482,0.6836488812392427,0.9095891497471059
df2_UnderSampling,0.8064284983109837,0.5646140503035559,0.8353293413173652,0.6737967914438503,0.9020179837568073
df2_UnderSampling,0.8157436789845429,0.5782887077997672,0.8498716852010265,0.6882577069622445,0.910480670817083
df2_BothSampling,0.8107278124680111,0.5716378552593027,0.8344739093242087,0.67849069727004,0.9082529905296968
df2_BothSampling,0.8104207185996519,0.569034090909091,0.8567151411462789,0.6838511437350632,0.9096794587766622
df2_BothSampling,0.8091923431262156,0.5677142857142857,0.8498716852010265,0.6807125727989037,0.907929311225867
df2_BothSampling,0.8149247620022521,0.5778038755137992,0.8417450812660393,0.6852367688022284,0.9079060864371954
df2_BothSampling,0.8039717473641109,0.5606886657101865,0.8357570573139436,0.6711317190451658,0.9030268950535401
df2_BothSampling,0.8041764766096837,0.5598086124401914,0.850727117194183,0.6752673569852317,0.9070326674639647
df2_BothSampling,0.8136963865288156,0.574,0.8592814371257484,0.6882494004796164,0.9098389529263753
df2_BothSampling,0.8118538233186611,0.5720046082949308,0.8494439692044482,0.6836488812392427,0.9095891497471059
df2_BothSampling,0.8064284983109837,0.5646140503035559,0.8353293413173652,0.6737967914438503,0.9020179837568073
df2_BothSampling,0.8157436789845429,0.5782887077997672,0.8498716852010265,0.6882577069622445,0.910480670817083
