dataset,accuracy,precision,recall,f1,roc_auc
df1_raw,0.8584297266864571,0.7444956477214542,0.6218990590248076,0.6776975064087625,0.9058187621527232
df1_raw,0.8595557375371071,0.7386363636363636,0.6394354148845167,0.6854653828519028,0.9071572812619182
df1_raw,0.852492578564848,0.7225806451612903,0.6227544910179641,0.6689639329198254,0.9022129626208106
df1_raw,0.852492578564848,0.7289433384379785,0.6107784431137725,0.6646497556434722,0.9003884209204291
df1_raw,0.8518783908281298,0.72,0.6236099230111206,0.668347467338987,0.9003282436798932
df1_raw,0.8512642030914116,0.723823975720789,0.6120615911035072,0.6632676709154114,0.901609204452851
df1_raw,0.8537209540382844,0.7296614451743305,0.6176218990590248,0.6689830901088719,0.9034577192002753
df1_raw,0.8554611526256526,0.7359836901121305,0.6176218990590248,0.6716279069767442,0.903751065260908
df1_raw,0.8512642030914116,0.7286821705426356,0.6030795551753636,0.6599578750292534,0.8957076331217835
df1_raw,0.8531067663015662,0.7323726196603191,0.6086398631308811,0.6647979444055128,0.9040618802765885
df1_OverSampling,0.8485003582761798,0.6820882852292021,0.6873396065012831,0.6847038772901577,0.902620331745529
df1_OverSampling,0.8521854846964889,0.6894067796610169,0.6958939264328486,0.6926351638995317,0.9034863256933852
df1_OverSampling,0.8449175964786569,0.6719598829920602,0.6877673224978614,0.6797717184527584,0.9007382892672466
df1_OverSampling,0.8490121813901116,0.6868774361195322,0.6783575705731394,0.6825909188723908,0.8986955439141903
df1_OverSampling,0.8462483365748797,0.6748953974895398,0.6899059024807528,0.6823181049069373,0.8974670475647126
df1_OverSampling,0.8439963148735797,0.6761904761904762,0.6680923866552609,0.6721170395869192,0.8989843140870919
df1_OverSampling,0.8454294195925888,0.6752751905165114,0.6822070145423439,0.6787234042553192,0.9013489544355547
df1_OverSampling,0.8470672535571706,0.6794217687074829,0.6834901625320787,0.6814498933901919,0.899973857003681
df1_OverSampling,0.8419490224178524,0.6718614718614718,0.6638152266894782,0.6678141135972461,0.8931786637233636
df1_OverSampling,0.8479885351622479,0.6839154808106943,0.6783575705731394,0.6811251878891991,0.9006084088815276
